#Linear limb darkening coefficients from Gianninas et al. 2013 ApJ, 766, 3 for given logg and Teff (first two columns).
 7.25  4250  0.4399
 7.25  4500  0.4332
 7.25  4750  0.4360
 7.25  5000  0.4434
 7.25  5250  0.4562
 7.25  5500  0.4768
 7.25  6000  0.5309
 7.25  6500  0.5598
 7.25  7000  0.5622
 7.25  7500  0.5525
 7.25  8000  0.5373
 7.25  8500  0.5182
 7.25  9000  0.4950
 7.25  9500  0.4684
 7.25 10000  0.4420
 7.25 10500  0.4242
 7.25 11000  0.4197
 7.25 11500  0.4250
 7.25 12000  0.4326
 7.25 12500  0.4343
 7.25 13000  0.4286
 7.25 13500  0.4209
 7.25 14000  0.4133
 7.25 14500  0.4062
 7.25 15000  0.3993
 7.25 15500  0.3928
 7.25 16000  0.3865
 7.25 16500  0.3805
 7.25 17000  0.3748
 7.25 20000  0.3459
 7.25 25000  0.3120
 7.25 30000  0.2736
 7.50  4000  0.4544
 7.50  4250  0.4435
 7.50  4500  0.4355
 7.50  4750  0.4354
 7.50  5000  0.4408
 7.50  5250  0.4508
 7.50  5500  0.4672
 7.50  6000  0.5167
 7.50  6500  0.5510
 7.50  7000  0.5574
 7.50  7500  0.5484
 7.50  8000  0.5325
 7.50  8500  0.5127
 7.50  9000  0.4896
 7.50  9500  0.4636
 7.50 10000  0.4368
 7.50 10500  0.4155
 7.50 11000  0.4057
 7.50 11500  0.4070
 7.50 12000  0.4132
 7.50 12500  0.4199
 7.50 13000  0.4205
 7.50 13500  0.4153
 7.50 14000  0.4086
 7.50 14500  0.4017
 7.50 15000  0.3951
 7.50 15500  0.3890
 7.50 16000  0.3829
 7.50 16500  0.3771
 7.50 17000  0.3716
 7.50 20000  0.3432
 7.50 25000  0.3098
 7.50 30000  0.2711
 7.75  4000  0.4583
 7.75  4250  0.4475
 7.75  4500  0.4385
 7.75  4750  0.4354
 7.75  5000  0.4393
 7.75  5250  0.4466
 7.75  5500  0.4598
 7.75  6000  0.5026
 7.75  6500  0.5410
 7.75  7000  0.5520
 7.75  7500  0.5450
 7.75  8000  0.5291
 7.75  8500  0.5089
 7.75  9000  0.4853
 7.75  9500  0.4592
 7.75 10000  0.4321
 7.75 10500  0.4085
 7.75 11000  0.3942
 7.75 11500  0.3903
 7.75 12000  0.3945
 7.75 12500  0.4005
 7.75 13000  0.4064
 7.75 13500  0.4067
 7.75 14000  0.4025
 7.75 14500  0.3968
 7.75 15000  0.3906
